index,title,published_at,author,short_description,keywords,description,scraped_at
0,Santoli’s Wednesday market notes: Could September’s stock shakeout tee up strength for the fourth quarter?,2021-09-29T17:09:39+0000,Michael Santoli,"This is the daily notebook of Mike Santoli, CNBC's senior markets commentator, with ideas about trends, stocks and market statistics.","cnbc, Premium, Articles, Investment strategy, Markets, Investing, PRO Home, CNBC Pro, Pro: Santoli on Stocks, source:tagname:CNBC US Source","This is the daily notebook of Mike Santoli, CNBC's senior markets commentator, with ideas about trends, stocks and market statistics.A muted, inconclusive bounce that has left the indexes fully within yesterday's low-to-high range all morning so far.",11:23.7
1,My take on the early Brexit winners and losers,2016-06-24T13:50:48-0400,,"This commentary originally ran on Facebook. Boris Johnson – The former London mayor and grudging ""Leave"" supporter-turned enthusiastic ""Leave"" leader chose the winning side. He's now a front-runner to lead the Tory party. ‪#‎HellFreezesOver‬ Theresa May – Boris Johnson's populist approach to the Brexit campaign ticked off quite a few Tory elders, so the real money should be on UK Home Secretary Theresa May to succeed outgoing Prime Minister David Cameron. May is a political heavyweight and is generally respected among the Tories, something Boris Johnson is … um, not.  Nigel Farage – the once-embattled UK Independence Party leader gets his moment in the sun. Also gets to keep having a political career. And the fact that he quoted ""Independence Day"" in his victory speech made a crazy night that much crazier.  Marine Le Pen/Geert Wilders – Charismatic figures with a long history agitating for EU exits, France's Marine Le Pen and the Netherlands' Geert Wilders wasted no time calling for their own referendums. Brexit legitimizes their years of saber-rattling, and moves them from the political fringes into the mainstream, where they can do serious damage to the European project.  Vladimir Putin – Russia's strongman needed this. Low oil prices have leveled the Russian economy, and the International Olympic Committee has banned Russian track athletes from competing at ‪#‎Rio2016‬. But now he gets to say ""at least we're not Europe.""  Nicola Sturgeon – The head of the Scottish National Party delivered on her end from Scotland, where 62 percent of Scots voted to ""Remain,"" though turnout wasn't as high as hoped. She now has political leverage by threatening to hold another Scottish referendum. And if Scotland leaves, the British drought at Wimbledon gets retroactively reinstated.  German/US relations – Going to get stronger. By default.  David Cameron – The man called the referendum to keep Euroskeptic Tories from defecting to the UK Independence Party camp in last year's parliamentary election. That turns out to have bought him an extra year in 10 Downing Street. Hope it was worth it, David. ‪#‎KarmaIsABitch‬   British pollsters – whiffed on the Scottish referendum. Whiffed on last year's parliamentary elections. Whiffed on the Brexit referendum. We were better off flipping a coin.   Alexis Tsipras – when the Greek Prime Minister held a referendum on whether the Greek people should sign a deal for more austerity, he just ignored the results. The fact that Cameron actually fell on his referendum sword makes Tsipras look silly. Oh, and Grexit is now a real possibility now that the precedent has been sent. Labour Party Leader Jeremy Corbyn – Pundits have pointed to Labour's particularly poor showing to get out the vote as a key reason why the ""Remain"" side failed to win. And Jeremy Corbyn just failed in his first real test as Labour leader. Labour has some soul-searching to do, though it feels like we say that after every election.  German Chancellor Angela Merkel – Brexit is now yet another problem for Europe (read: Merkel) to deal with. As if she didn't have enough to worry over.   The British pound sterling – As the pound fell to levels not seen since 1985, maybe the first time ever that the British wish they had adopted the euro.   London's financial sector – Despite the UK's long-fraught relationship with the EU, it was clearly a net benefit for London's financial sector, which could lay claim as the financial center of Europe. Much harder to do that when you've announced to the world you no longer want to be part of ""Europe."" Look for Frankfurt to pick up the slack.   Donald J. Trump – Would have made him a winner, except he arrived in Scotland and announced that the Scottish ""took their country back."" So many things factually incorrect in that one statement I don't even know where to begin. Still, Brexit shows that divisive politics has an audience, which could bode well for The Donald.  Commentary by Ian Bremmer, the president and founder of Eurasia Group. He is also a professor at New York University and the author of ""Superpower: Three Choices for America's Role in the World."" Follow him on Twitter@ianbremmer.  For more insight from CNBC contributors, follow 

@CNBCopinion

 on Twitter.","Articles, Politics, Europe News, European Central Bank, S&P 500 Index, U.S. Markets, Commentary, Brexit, US Economy, stocks, Wall Street, World Economy, Markets",,11:23.8
2,Europe&#039;s recovery depends on Renzi&#039;s Italy,2014-03-25T13:29:45-0400,,"In spring, ambitious reforms began in Italy. Under Matteo Renzi, the ailing economy will either begin a real recovery, or slide further. The outcome is vital to Italy, Europe and the global economy.   Soon the name of Matteo Renzi, the new prime minister of Italy, will be known better internationally, after his meetings with German Chancellor Angela Merkel and President Obama.    Along with French President François Hollande, the two know only too well what's at stake in Italy's recovery. If it succeeds, the recovery of the euro zone will slowly continue. If not, the implications will be global. The reform drive of il Rottamatore   One year after being sworn in as Mayor of Florence in 2009, Matteo Renzi declared that a complete change was necessary in his Democratic Party and Italian politics. So he was nicknamed il Rottamatore (""The Scrapper""). Last February, the 39-year-old Renzi became the youngest person in history to be Italy's Prime Minister — even younger than Mussolini.   (Read more: France to ply China with wine)   But can the Great Scrapper reverse Italy's economic decline?   First, the good news: In the end of 2013, only two months before Renzi arrived in Rome, the longest recession in Italy's postwar history ended.    The bad news is that, after nine consecutive quarters of negative growth, the economy is almost 10 percent smaller than before the crisis. Meanwhile, business continues to complain about the tax burden, and the unemployment rate has doubled to over 12 percent since 2007. Despite pledges of austerity in Brussels and Rome, Italy's fiscal deficit is 3 percent of the GDP and its sovereign debt has climbed to more than 132 percent of the gross domestic product (GDP). Among the EU members, only Greece has more.    The only bright spot is the current account surplus, which is almost 1 percent of the GDP. The positive turn stems from a higher contribution from net exports, coupled with a decline in imports. Nonetheless, it will be hard for Italian exporters to sustain their performance in the near future.    The economy suffers from a de facto process of de-industrialization. Industrial production has not increased ever since August 2011 and is now down 25 percent from its peak. Credit contraction weighs heavily on business confidence and consumer sentiment.   Ambitious programs — on a monthly basis   Today, Renzi's Democratic Party, Partito Democratico (PD), has its strongest constituencies in Northern-Central Italy and the big cities. PD runs 12 Italian regions out of a total of 20. It is social-democratic, progressive by outlook, reformist by inclination.    Renzi himself is perceived as a liberal modernizer. When he became prime minister, it was a sign of much-needed generational change in the aging Italy, in which potential growth amounts to barely 0.8  to 1 percent in the coming years.    (Read more: Russia's next step: Capitol controls?)   Italy needs huge structural and institutional reforms. Renzi hopes to reverse the country's longstanding decline by launching one large project every month, starting with a new electoral law to consolidate political decision-making, reforms in the public administration, and the tax system.    Even before Italy's European Council presidency will begin on July 1, 2014, Renzi hopes to achieve on a monthly basis what Rome's political class has failed to achieve in decades. After Berlusconi's rule, he sees Italy's political landscape as devastated. Even before his premiership, he suggested that Italy's parliamentarians should vote for their own removal. To become prime minister, Renzi politically maneuvered his predecessor Enrico Letta to resign.    Nonetheless, Renzi's program will initiate the long-needed transformation of Italy. If this program will fall apart, the failure could push the economy deeper into the abyss.   Slow recovery — or devastating depression   In the past, the euro zone avoided a major crisis as long as friction points were restricted to small economies (e.g., Greece, Portugal, Ireland), which each accounted for less than 3 percent of the euro zone GDP.    Everything changed in fall 2011 when the contagion effect reached Spain and Italy, which together account for almost 30 percent of the regional GDP. If, under these circumstances, Greece would have defaulted, it could have caused a contagion effect, particularly in Italy. That is why Greece has now received two bailouts (73 billion euros and 164 billion euros), is in talks about a third one (up to 20 billion euros) and more generous repayment terms.    As long as Greece remains solvent, Italy and Spain will have time to restore sustained growth.   (Read more: ECB's Weidmann says QE not out of the question)  The Italian economy remains vulnerable, however. Standard & Poor's still has a negative outlook on the country's ""BBB"" rating. Even by 2016, Italian economic output is likely to remain nearly 7 percent below 2007 levels. It is suffering from a ""lost decade.""   The stakes are massive. Italy continues to account for 5 percent of gross commercial long-term debt globally, although its population is less than 1 percent of the world total.   While Brussels has demanded tough austerity programs, an exclusive focus on the latter would only make things worse in Italy. Instead, Renzi's government is likely to reduce its huge debt only slowly, but focus on a lower deficit.    A failure to achieve progress would polarize Italy, destabilize Southern Europe and reduce global growth prospects.   How Italy goes, so will the world go.  — By Dan Steinbock  Dan Steinbock is research director of International Business at India China and America Institute (USA), visiting fellow at Shanghai Institutes for International Studies (China) and in the EU-Center (Singapore). See also www.differencegroup.net.","Articles, Business News, Economy, Europe Economy, Employment, Commentary, Politics, source:tagname:CNBC US Source",,11:23.9
3,US Moves Closer to Becoming A Major Shareholder In GM,2009-04-22T19:49:03+0000,Michelle Caruso-Cabrera,"The US government is increasingly likely to convert a $13.4 billion loan to General Motors into common stock, sharply reducing the company's debt burden and giving taxpayers a major stake in the struggling auto maker, sources tell CNBC.","cnbc, Articles, General Motors Co, Business News, Transportation, Autos, source:tagname:CNBC US Source","The US government is increasingly likely to convert a $13.4 billion loan to General Motors into common stock, sharply reducing the company's debt burden and giving taxpayers a major stake in the struggling auto maker, sources tell CNBC.The move, which is still under discussion, is partly aimed at getting GM's  bondholders and the United Auto Workers union to make more concessions and avert a possible bankruptcy filing, these sources said. The government is pressuring the UAW to make concessions on GM retiree health benefits. People involved in the talks caution that nothing has been decided yet. Officials from President Obama's auto task force and the UAW had no comment.The US agreed to loan GM up to $13.4 billion in December provided the auto maker convinced bondholders and the UAW to accept much of what the company owes them in stock rather than cash. Slideshow: What's new at New York Auto ShowSo far, both groups have balked. Both the union and bondholders are worried that if they accept stock, and the company goes bankrupt anyway, they will be left with nothing. However, if the government converts its loan to equity, it signals to both groups that the White House will not let the company fail, and that the stock will eventually be worth something.GM owes the UAW $20 billion for its retiree health care benefits, and it owes bondholders $27.5 billion. Crucial to all of this: a new business plan for GM that reflects the current economic environment. That means fewer plants, fewer models, lower pay for union employees and a balance with far less, if any, debt. If that cannot be achieved, President Obama has said that forcing the company into bankruptcy is a strong possibility. Previously, GM offered the bondholders 8 cents in cash, 16 and half cents in new debt, and 90% of the company's equity. It offered the union $10 billion amortized over 20 years, and $10 billion in preferred stock with a 9% interest rate. However, the auto task force told GM those offers were too generous because of the unprecedented and precipitous decline in auto sales. Those previous offers were based on the assumption that auto sales would return to an annual pace of around 11 million cars. Thus far however, they have hovered around 9 million cars per year. As CNBC reported more than a week ago, GM is planning to offer the bondholders no cash, no new debt, and only as much as 20% of the stock of GM, perhaps even as little as 10%. Again, negotiations are ongoing and nothing has been finalized. Terms of a possible offer could change on a daily or even hourly basis.Reuters reports they are considering offering the unions only stock as well. If true, that would sit very poorly with the union, as it needs cash to pay for retiree health care benefits. Doctor visits and MRIs can't be paid for with stock. However, the union retiree benefit plan does have some cash. GM had already paid them $10 billion out of $30 billion owed to them, late last year. Some argue that would justify paying the rest that is owed to them in stock, which down the road they could sell, and use to pay retiree health care benefits.",11:24.3
4,Trump: 'Mission accomplished' on 'perfectly executed' Syria strike,2018-04-14T14:59:04+0000,Javier E. David,,"cnbc, Articles, George W. Bush, Vladimir Putin, Donald Trump, Chemical weapons, Syria, Politics, Europe News, World News, US: News, source:tagname:CNBC US Source","President Donald Trump hailed the U.S.-led intervention in Syria as ""perfectly executed,"" adding that the military campaign to degrade Bashar Assad's chemical weapons capability had accomplished its goals.Less than a day after U.S., British and French forces targeted suspected chemical weapons sites in retaliation to an attack that left dozens of civilians dead last week, Trump thanked the U.S. coalition partners.Yet in an echo of former president George W. Bush, Trump used words that ultimately came back to haunt his predecessor, by pronouncing ""Mission Accomplished."" That characterization raised questions about whether Western forces would intervene again if Assad used chemical weapons again, or if the conflict escalated amid Russia's growing bellicosity.""A perfectly executed strike last night. Thank you to France and the United Kingdom for their wisdom and the power of their fine Military. Could not have had a better result. Mission Accomplished!"" Trump said in a Twitter post.Defense Secretary James Mattis called the strikes a ""one time shot"" aimed at the Syrian government's chemical weapons infrastructure.""Clearly, the Assad regime did not get the message last year,"" Mattis told reporters on Friday from the Pentagon.""Together we have sent a clear message to Assad and his murderous lieutenants that they should not perpetrate another chemical weapons attack for which they will be held accountable.""Back in May 2003, Bush prematurely declared the Iraq war as being over, in the wake of U.S. forces successfully toppling the government of Saddam Hussein. The event, staged on a U.S. bomber under a massive banner that screamed ""Mission Accomplished,"" overshadowed the years of conflict and bloodshed that followed.In a briefing on Saturday, Pentagon officials also described the Syria bombing as having successfully accomplished its goals. Trump's declaration came as Moscow, which is backing Syria in its long civil conflict, has denounced the bombing campaign with undisguised contempt. In the wake of Friday's strike, Russia's ambassador to the U.S. warned of ""consequences,"" while Russian President Vladimir Putin reportedly called the intervention an ""act of aggression.""--CNBC's Amanda Macias contributed to this article.",11:24.5
5,Chevron CEO Watson says he supports Trump on tax reform,2017-03-07T23:07:14+0000,Lauren Thomas,"Chevron Chief Executive John Watson told CNBC Tuesday that he ""strongly supports U.S. tax reform"" under President Donald Trump's administration. Trump's administration wants to make U.S. tax reform competitive, Watson said during an interview on CNBC's ""Closing Bell."" Specifically he discussed a proposed bill — a border-adjustment tax — that could hike rates on American imports. Despite concerns that a border tax could hurt oil prices, Chevron's Watson said industry imports would ""come into balance"" over time. ""The unpredictable effects of the U.S. dollar strengthening is what concerns a lot of people,"" he explained.","cnbc, Articles, White House, Oil and Gas, Chevron Corp, Donald Trump, Business, Exxon Mobil Corp, Business News, Closing Bell, source:tagname:CNBC US Source","Chevron Chief Executive John Watson told CNBC Tuesday that he ""strongly supports U.S. tax reform"" under President Donald Trump's administration. Trump's administration wants to make U.S. tax reform competitive, Watson said during an interview on CNBC's ""Closing Bell."" Specifically he discussed a proposed bill — a border-adjustment tax — that could hike rates on American imports. Despite concerns that a border tax could hurt oil prices, Chevron's Watson said industry imports would ""come into balance"" over time. ""The unpredictable effects of the U.S. dollar strengthening is what concerns a lot of people,"" he explained. A border-adjustment tax would likely result in the appreciation of the dollar, to ease the burden of hiked prices on consumers. Would this hurt a company such as Chevron? Not so fast, Watson said. ""I think what you'll see is a disconnect,"" he explained. U.S. oil prices might rise, but international prices would offset this. And Chevron wouldn't try to move money offshore, either, CEO Watson told CNBC. ""What we'll tend to do is take the cash flow that's generated ... and we'll recycle it into shorter cycle-time investments — the portfolio of assets we have in the U.S., in the Gulf of Mexico, in California and elsewhere."" Since former Exxon Mobil Chief Executive Rex Tillerson joined the Trump administration, Watson said he's visited with White House staff on multiple occasions and has been encouraged by those meetings.""We've seen a more pro-business environment ... I think the approach they're taking toward business — toward enabling our economy to grow again — is a real positive.""",11:24.7
6,22. Hexadite,2017-02-28T11:00:37-0500,,"Founders: Eran Barak, Barak Klinghofer (chief product officer), Idan Levin (CTO) Launched: 2014 Headquarters: Boston Funding: $10.5 million   The three founders of Hexadite, a Boston-based cybersecurity firm, have backgrounds in investigating and mitigating attacks for military intelligence units and global defense companies. They knew that these same kinds of automated cyberattacks were plaguing a wide variety of companies, leaving them unprepared when responding to a breach or, worse, preventing a future attack.Hexadite uses artificial intelligence to investigate and remediate every alert a company receives, claiming it can resolve incidents in seconds, freeing up a company's response team to focus on threats that truly need their expertise. Hexadite's Automated Incident Response Solution platform can integrate with customers' existing security technologies and can cut response time by 95 percent, the company says.Co-founder and CEO Eran Barak spent five years in an elite intelligence unit of the Israel Defense Forces before starting Hexadite in 2014 and was also head of Elbit Systems' cybertraining and simulation team. Late last year the company formed an alliance with other cybersecurity companies across the country, including Carbon Black, Check Point Software Technologies and Hewlett Packard Enterprise, to better integrate their products and automate important security processes.The goal of the alliance, explains Barak, is to utilize software to lighten the workload of security teams so that they can focus their time on the most dangerous and complex threats. The company has raised $10.5 million in funding from investors, including Hewlett Packard Ventures and TenEleven Ventures.","Articles, Technology, CNBC Upstart 2018, Boston, Special Reports, Crime, Hardware, Start-ups, Cybersecurity, CNBC Upstart, source:tagname:CNBC US Source",,11:24.8
7,European stocks close higher on supportive Fed; Signature Aviation skyrockets 40%,2020-12-17T06:08:38+0000,"Elliot Smith,Holly Ellyatt",LONDON — European stocks closed higher on Thursday as traders reacted positively to comments from the U.S. Federal Reserve that it will continue to support the economy.,"cnbc, Articles, World economy, World Markets, FTSE MIB, CAC 40 Index, DAX, FTSE 100, Jerome Powell, United States, STOXX 600, United Utilities Group PLC, Zalando SE, thyssenkrupp AG, ams AG, Signature Aviation Ltd, Blackstone Inc, World Economy, Europe Economy, Markets, Europe Markets, source:tagname:CNBC Europe Source","LONDON — European stocks closed higher on Thursday as traders reacted positively to comments from the U.S. Federal Reserve that it will continue to support the economy.The pan-European Stoxx 600 provisionally closed up by around 0.4%, with retail shares adding 2.1% to lead gains as most sectors and major bourses advanced.The positive trend comes after the Fed said it will buy at least $120 billion of bonds each month ""until substantial further progress has been made toward the Committee's maximum employment and price stability goals.""Fed Chairman Jerome Powell also said on Wednesday that stock prices are not necessarily highly priced given how low interest rates are.On Wall Street, the S&P 500 and Nasdaq Composite opened at record highs on Thursday, boosted by hopes of Washington coming through on additional financial aid before the end of 2020.Congressional leaders on Wednesday closed in on a $900 stimulus package that would include direct payments to individuals.In Europe Thursday, the Bank of England kept its main lending rate at 0.1%, having earlier cut twice from 0.75% since the onset of the pandemic in March, and retained its target stock of asset purchases at £895 billion ($1.2 trillion).In terms of individual share price action, British aviation firm Signature Aviation skyrocketed 40% to lead the Stoxx 600 after confirming it was in talks with Blackstone for a possible cash takeover offer of $5.17 a share.At the other end of the index, Austrian chipmaker AMS slid nearly 5%.Subscribe to CNBC PRO for exclusive insights and analysis, and live business day programming from around the world.— CNBC.com staff contributed to this market report.",11:24.8
8,"Fewer investors have a 'fear of missing out,' so it may be time to buckle up, market bull suggests",2019-07-28T21:00:47+0000,Stephanie Landsman,"Oppenheimer Asset Management's John Stoltzfus suggests investors may want to fasten their seat belts.The long-time bull expects a wave of near-term volatility to pressure stocks. He's blaming uncertainty surrounding this week's Federal Reserve decision on interest rates, another big batch of second quarter earnings results and a fresh round of U.S.-China trade talks.""Any kind of disappointment in a sense, okay, I can kind of take profits today without FOMO [fear of missing out] gripping my soul,"" the firm's chief investment strategist told CNBC's ""Futures Now"" last Thursday.With the fear of missing out gripping fewer investors, Stoltzfus contends it's not the time to get aggressive.""We're highly selective at this point with the S&P 500 up over 20%,"" he said.The index, which closed the week at new record highs, has already surpassed Stoltzfus' year-end target of 2,860 by almost 6%. He's planning to tweak the number once there's more visibility.""It's under revision at this time. We're going to wait until after the Fed makes its decision on the 31st,"" he said ""At that point, we'll put in our new target for the year-end, depending on how that goes.""Stoltzfus notes a more favorable development in the U.S.-China trade war would be an integral part of his bull case. He believes it's the biggest headwind holding back stocks from ripping even higher.""It would be confirmation that indeed the markets thought things weren't so bad, were actually pretty good,"" he said.For now, Stoltzfus is bracing for a 3 to 4% pullback to strike stocks near term. He'd look to add cyclical names such as consumer discretionary, industrials, financials and technology on weakness.""Tech looks like a great place to be because technology flows into all of the eleven sectors. Every business needs technology,"" Stoltzfus said.","cnbc, Articles, S&P 500 Fut (Dec'21), Technology Select Sector SPDR Fund, S&P 500 Industrials Sector, Consumer Discretionary Select Sector SPDR Fund, Wall Street, Markets, Investment strategy, Commodity markets, Futures & Commodities, Futures Now, Futures, Finance, Investing, CNBC TV, source:tagname:CNBC US Source","Oppenheimer Asset Management's John Stoltzfus suggests investors may want to fasten their seat belts.The long-time bull expects a wave of near-term volatility to pressure stocks. He's blaming uncertainty surrounding this week's Federal Reserve decision on interest rates, another big batch of second quarter earnings results and a fresh round of U.S.-China trade talks.""Any kind of disappointment in a sense, okay, I can kind of take profits today without FOMO [fear of missing out] gripping my soul,"" the firm's chief investment strategist told CNBC's ""Futures Now"" last Thursday.With the fear of missing out gripping fewer investors, Stoltzfus contends it's not the time to get aggressive.""We're highly selective at this point with the S&P 500 up over 20%,"" he said.The index, which closed the week at new record highs, has already surpassed Stoltzfus' year-end target of 2,860 by almost 6%. He's planning to tweak the number once there's more visibility.""It's under revision at this time. We're going to wait until after the Fed makes its decision on the 31st,"" he said ""At that point, we'll put in our new target for the year-end, depending on how that goes.""Stoltzfus notes a more favorable development in the U.S.-China trade war would be an integral part of his bull case. He believes it's the biggest headwind holding back stocks from ripping even higher.""It would be confirmation that indeed the markets thought things weren't so bad, were actually pretty good,"" he said.For now, Stoltzfus is bracing for a 3 to 4% pullback to strike stocks near term. He'd look to add cyclical names such as consumer discretionary, industrials, financials and technology on weakness.""Tech looks like a great place to be because technology flows into all of the eleven sectors. Every business needs technology,"" Stoltzfus said.",11:25.0
9,Morgan Stanley Tries to Stave Off Ratings Cut ,2012-04-05T06:53:57+0000,,"James Gorman, Morgan Stanley’s chief executive, has been in discussions with Moody’s in an attempt to maintain its credit ratings and stave off a downgrade that could diminish the bank’s ability to buy the rest of Citigroup brokerage Smith Barney, according to people familiar with the matter.","cnbc, Articles, Morgan Stanley, Goldman Sachs Group Inc, Citigroup Inc, Bank of America Corp, Business News, Economy, World Economy, Europe News, source:tagname:Financial Times","James Gorman, Morgan Stanley’s chief executive, has been in discussions with Moody’s in an attempt to maintain its credit ratings and stave off a downgrade that could diminish the bank’s ability to buy the rest of Citigroup brokerage Smith Barney, according to people familiar with the matter.Morgan Stanley owns 51 percent of Smith Barney, and holds an option, which kicks in at the end of May, to increase its stake to 65 percent. Taking full control of the brokerage is a centrepiece of Mr Gorman’s strategy. Morgan Stanley declined to comment.People familiar with the bank’s thinking have said Morgan Stanley could consider buying all of Smith Barney outright, but its ultimate decision will depend on price. Analysts have valued Citi’s remaining Smith Barney stake at around $10 billion.Morgan Stanley would most likely have to issue debt to fund the purchase, people say. That would become more expensive if Morgan Stanley is downgraded. Moody’s put Morgan Stanley, along with five other banks, on review for a downgrade in February. The bank could see its rating reduced by as many as three notches to Baa2 - two levels above junk status.A downgrade would also force Morgan Stanley to provide additional collateral to back its vast derivatives business, where it acts as a counterparty. Mr Gorman has been meeting Moody’s executives since earlier this year. The chief executive, who took over from John Mack at the beginning of 2010, is also thought to be discussing possible steps the bank could take to cushion the impact of a downgrade. These include shifting the banks’ derivatives books to a higher-rated subsidiary, which would help save it collateral costs. Other banks including Citigroup and Bank of America have done this.Other major banks, such as JPMorgan and Goldman Sachs , are also on review for downgrade at Moody’s. Morgan Stanley agreed to fold its retail brokerage business into a joint venture with Smith Barney in 2009. The venture is a key component of the bank’s push to become less dependent on volatile trading operations.“[A downgrade] will make it more expensive [to issue debt] on the margin, but the overall cost of funding is not very expensive,” said one banker, who specializes in selling financials’ debt. Markets may be pricing in a higher cost of funding, he added.",11:25.1
